
Score: 0			 Date: 2014-04-12 16:44:31.717779
Score: 0			 Date: 2014-04-12 16:46:38.350292
Score: 0			 Date: 2014-04-12 16:48:11.360257
Score: 0			 Date: 2014-04-12 16:49:31.976595
Score: 0			 Date: 2014-04-12 16:53:19.261560
Score: 0			 Date: 2014-04-12 17:01:52.428447
Score: 0			 Date: 2014-04-12 17:03:08.850554
Score: 0			 Date: 2014-04-12 17:04:09.404397
Score: 0			 Date: 2014-04-12 17:04:51.600815
Score: 0			 Date: 2014-04-12 17:05:21.369825
Score: 0			 Date: 2014-04-12 17:11:26.452093
Score: 0			 Date: 2014-04-12 17:11:58.241032
Score: 0			 Date: 2014-04-12 17:12:46.488032
Score: 0			 Date: 2014-04-12 17:13:34.839044
Score: 0			 Date: 2014-04-12 17:14:13.771832
Score: 0			 Date: 2014-04-12 17:16:53.726391
Score: 0			 Date: 2014-04-12 17:17:36.930197
Score: 0			 Date: 2014-04-12 17:18:11.480791
Score: 0			 Date: 2014-04-12 17:18:29.494662
Score: 0			 Date: 2014-04-12 17:19:04.818720
Score: 0			 Date: 2014-04-12 17:20:01.301445
Score: 0			 Date: 2014-04-12 17:22:36.257197
Score: 0			 Date: 2014-04-12 17:29:34.605455
Score: 0			 Date: 2014-04-12 17:30:33.388381
Score: 0			 Date: 2014-04-12 17:30:41.973940
Score: 0			 Date: 2014-04-12 17:30:50.590112
Score: 0			 Date: 2014-04-12 17:31:51.162173
Score: 0			 Date: 2014-04-12 17:59:22.769996
Score: 0			 Date: 2014-04-12 17:59:41.563106
Score: 0			 Date: 2014-04-12 18:13:17.483798
Score: 0			 Date: 2014-04-12 18:13:31.588004
Score: 0			 Date: 2014-04-12 18:13:48.907982
Score: 0			 Date: 2014-04-12 18:16:19.935145
Score: 0			 Date: 2014-04-12 18:16:36.588615
Score: 0			 Date: 2014-04-12 18:20:35.058524
Score: 0			 Date: 2014-04-12 18:23:22.068451
Score: 0			 Date: 2014-04-12 18:24:13.454576
Score: 0			 Date: 2014-04-12 18:24:42.051817
Score: 0			 Date: 2014-04-12 18:31:11.073627
Score: 0			 Date: 2014-04-12 18:32:48.630312
Score: 0			 Date: 2014-04-12 18:33:08.486660
Score: 0			 Date: 2014-04-12 18:33:28.695668
Score: 0			 Date: 2014-04-12 18:34:04.442282
Score: 0			 Date: 2014-04-12 18:34:36.074492
Score: 0			 Date: 2014-04-12 18:34:42.330058
Score: 0			 Date: 2014-04-12 18:35:20.183829
Score: 0			 Date: 2014-04-12 18:35:27.835318
Score: 0			 Date: 2014-04-12 18:35:37.461982
Score: 0			 Date: 2014-04-12 18:35:46.630874
Score: 0			 Date: 2014-04-12 18:35:51.981113
Score: 0			 Date: 2014-04-12 18:35:57.053572
Score: 0			 Date: 2014-04-12 18:47:30.075718
Score: 0			 Date: 2014-04-12 18:47:38.951249
Score: 0			 Date: 2014-04-12 18:48:02.883829
Score: 0			 Date: 2014-04-12 18:52:12.020755
Score: 0			 Date: 2014-04-12 18:54:23.415491
Score: 0			 Date: 2014-04-12 18:57:06.477886
Score: 0			 Date: 2014-04-12 18:57:27.979692
Score: 0			 Date: 2014-04-12 18:59:08.050971
Score: 0			 Date: 2014-04-12 18:59:28.402765
Score: 0			 Date: 2014-04-12 19:02:33.899227
